t,y
21.51,-8.676
21.543,-8.528
21.577,-8.231
21.61,-7.799
21.643,-7.367
21.677,-6.909
21.71,-6.354
21.743,-5.847
21.777,-5.279
21.81,-4.785
21.843,-4.303
21.877,-3.834
21.91,-3.5
21.943,-3.179
21.977,-2.907
22.01,-2.759
22.043,-2.697
22.077,-2.709
22.11,-2.919
22.143,-3.105
22.177,-3.389
22.21,-3.809
22.243,-4.229
22.277,-4.661
22.31,-5.18
22.343,-5.736
22.377,-6.242
22.41,-6.823
22.443,-7.317
22.477,-7.725
22.51,-8.108
22.543,-8.429
22.577,-8.664
22.61,-8.762
22.643,-8.787
22.677,-8.738
22.71,-8.528
22.743,-8.244
22.777,-7.947
22.81,-7.589
22.843,-7.119
22.877,-6.65
22.91,-6.106
22.943,-5.6
22.977,-5.069
23.01,-4.599
23.043,-4.155
23.077,-3.759
23.11,-3.389
23.143,-3.105
23.177,-2.932
23.21,-2.821
23.243,-2.821
23.277,-2.932
23.31,-3.092
23.343,-3.352
23.377,-3.685
23.41,-4.068
23.444,-4.562
23.477,-5.032
23.51,-5.6
23.544,-6.082
23.577,-6.638
23.61,-7.156
23.643,-7.638
23.677,-8.034
23.71,-8.342
23.744,-8.589
23.777,-8.775
23.81,-8.787
23.844,-8.775
23.877,-8.614
23.91,-8.417
23.944,-8.169
23.977,-7.774
24.01,-7.329
24.044,-6.848
24.077,-6.354
24.11,-5.872
24.144,-5.328
24.177,-4.822
24.21,-4.414
24.244,-3.871
24.277,-3.537
24.31,-3.241
24.344,-3.068
24.377,-2.907
24.41,-2.858
24.444,-2.895
24.477,-3.092
24.51,-3.241
24.544,-3.586
24.577,-3.957
24.61,-4.389
24.644,-4.896
24.677,-5.415
24.71,-5.971
24.744,-6.514
24.777,-7.058
24.81,-7.515
24.844,-7.898
24.877,-8.305
24.91,-8.565
24.944,-8.701
24.977,-8.775
25.01,-8.799
25.044,-8.713
25.077,-8.528
25.11,-8.268
25.144,-7.922
25.177,-7.49
25.21,-7.021
25.244,-6.551
25.277,-6.045
25.31,-5.538
25.344,-5.019
25.377,-4.575
25.41,-4.068
25.444,-3.698
25.477,-3.339
25.51,-3.117
25.544,-2.956
25.577,-2.895
25.61,-2.858
25.644,-2.994
25.677,-3.154
25.71,-3.426
25.744,-3.784
25.777,-4.204
25.81,-4.711
25.844,-5.242
25.877,-5.711
25.91,-6.218
25.944,-6.749
25.977,-7.305
26.01,-7.725
26.044,-8.083
26.077,-8.379
26.11,-8.627
26.144,-8.75
26.177,-8.812
26.21,-8.738
26.244,-8.577
26.277,-8.342
26.31,-8.046
26.344,-7.663
26.377,-7.181
26.41,-6.687
26.444,-6.193
26.477,-5.686
26.51,-5.18
26.544,-4.686
26.577,-4.216
26.61,-3.834
26.644,-3.488
26.677,-3.216
26.71,-2.981
26.744,-2.87
26.777,-2.882
26.81,-2.882
26.844,-3.092
26.877,-3.339
26.91,-3.685
26.944,-4.044
26.977,-4.488
27.01,-4.958
27.044,-5.464
27.077,-5.995
27.11,-6.539
27.144,-7.07
27.177,-7.515
27.21,-7.91
27.244,-8.256
27.277,-8.528
27.31,-8.676
27.344,-8.738
27.377,-8.738
27.41,-8.627
27.444,-8.441
27.477,-8.157
27.51,-7.787
27.544,-7.367
27.577,-6.934
27.61,-6.378
27.644,-5.859
